TRANSPORTISTA,CD,FECHA,SEMANA,MES ,PLACAS,FUENTE,REPORTE,SISTEMA,ESTADO,CRITICIDAD,FECHA SOLUCIÓN,DÍAS DE CIERRE,DÍAS PARA CIERRE,CUMPLIMIENTO MTTO COR,META,META RT,PORCENTAJE DE RESPUESTA TALLER,OBSERVACIONES,EVIDENCIAS ANTES,EVIDENCIAS DESPUES
Surticerveza Pacheco SAS,Galapa,23/1/2026,4,Enero,COUYY190,Checklist T2,No tiene tapa de combustible,OTRA,Cerrado,0,1/26/2026,,,,80%,,,,,
Logisticos,Galapa,19/3/2026,12,Marzo,COVEL587,Checklist T2,"Carpa en mal estado, llanta de repuesto dañada",CARPAS/ESTERAS,Cerrado,2,3/20/2026,1.00,14,100%,80%,50%,93%,,,
Logisticos,Galapa,16/1/2026,3,Enero,COVCM617,Checklist T2,No tiene tapa de combustible acpm,OTRA,Cerrado,0,1/18/2026,,,,80%,,,,,
Logisticos,Galapa,24/4/2026,17,Abril,COKSP221,Checklist T2,No tiene tapa de combustible de la uria,OTRA,Cerrado,0,4/26/2026,,,,80%,,,,,
Logisticos,Galapa,19/3/2026,12,Marzo,COVCL944,Checklist T2,Luces malasssss malasss,ELÉCTRICO,Cerrado,1,3/20/2026,1.00,0,100%,80%,50%,100%,,,
Surticerveza Pacheco SAS,Galapa,20/3/2026,12,Marzo,COLCM493,Checklist T2,No tiene llanta de repuesto Panorámico picado Retrovisor izquierdo partido Embrague molesta Sonido de embrague,LLANTAS,Cerrado,3,3/22/2026,2.00,28,100%,80%,50%,93%,,,
Surticerveza Pacheco SAS,Galapa,20/3/2026,12,Marzo,COPSX403,Checklist T2,Peldaños traseros dañados y cauchos afuera del riel y carpa rota,CARPAS/ESTERAS,Cerrado,2,3/22/2026,2.00,13,100%,80%,50%,87%,,,
Logisticos,Galapa,20/3/2026,12,Marzo,COVEL186,Checklist T2,Bota la Reversa .carpa derecha en mal estado,CARPAS/ESTERAS,Cerrado,2,3/21/2026,1.00,14,100%,80%,50%,93%,,,
Logisticos,Galapa,20/3/2026,12,Marzo,COVCM617,Checklist T2,Ruido en la dirección lámparas partidas sin tapa de combustible frenos largos,FRENOS,Cerrado,1,3/21/2026,1.00,0,100%,80%,50%,100%,,,
Logisticos,Galapa,20/3/2026,12,Marzo,COVEL558,Checklist T2,Golpes y rayones traseros y delanteros carpa en mal estado dura para habrir ojo el vehículo se descarga mucho pierde la fuerza,CARPAS/ESTERAS,Cerrado,2,3/23/2026,3.00,12,100%,80%,50%,80%,,,
